EpochTime,feelings_symptoms,smell_description,smell_value,zipcode
1479905732,,Sulfuric,4,15104
1479906135,,Sulfuric,4,15104
1479906145,No,Sulfuric,4,15104
1479906537,,,3,15208
1479906788,,horrible sulfur smell. woke me up in the middle of the night.,5,15217
1479910400,,,1,15221
1479911461,Slight throat irritation,Burnt stuff,3,15218
1479911470,Slight throat irritation,Burnt stuff,3,15218
1479911513,Slight throat irritation,Burnt stuff,3,15218
1479911544,Slight throat irritation,Burnt stuff,3,15218
1479912051,,,2,15206
1479912463,None,Burnt chemicals,4,15213
1479912482,None,Burnt chemicals,4,15213
1479912484,None,Burnt chemicals,4,15213
1479912487,None,Burnt chemicals,4,15213
1479912517,Headache,Burnt chemicals,4,15213
1479912524,Headache,Burnt chemicals,4,15213
1479912527,Headache,Burnt chemicals,4,15213
1479912531,Headache,Burnt chemicals,4,15213
1479912540,Headache,Burnt chemicals,4,15213
1479912545,,Industrial,2,15206
1479912621,Pregnant girlfriend has head ach,Burnt chemical smell,4,15213
1479912625,Pregnant girlfriend has head ach,Burnt chemical smell,4,15213
1479912631,Pregnant girlfriend has head ach,Burnt chemical smell,4,15213
1479912643,Pregnant girlfriend has head ach,Burnt chemical smell,4,15213
1479912646,Pregnant girlfriend has head ach,Burnt chemical smell,4,15213
1479912654,Pregnant girlfriend has headache,Burnt chemical smell,4,15213
1479912664,Pregnant girlfriend has headache,Burnt chemical smell,4,15213
1479922537,,,4,15208
1479942920,,,2,15206
1479948128,,,1,15207
1479976252,"Cannot sleep, cannot open windows to enjoy fresh air",Somewhat like rotten eggs,4,15218
1479977095,,"Industrial, sulphuric.",4,15206
1479994836,,,3,15218
1479995843,,,2,15206
1480075228,,,1,15224
1480085047,,,1,15206
1480170411,,,1,15224
1480170634,,,1,15213
1480187779,,,1,15218
1480188782,,Plaster,3,15201
1480281319,,,1,15224
1480290726,,,1,15217
1480305729,Clogged throat,Like shit,4,15217
1480308681,,Industrial ,4,15207
1480313620,,Phosphorus ,3,15217
1480335226,,Smells like machine oil,4,15206
1480335259,,,1,15221
1480335320,Stuffy nose. ,Sooty. Sensors indicate that it was much worse overnight. Not acceptable!,3,15217
