EpochTime,3.feed_23.CO_PPM,3.feed_23.PM10_UG_M3
1481279400,0.1,7.0
1481283000,0.2,8.0
1481286600,0.2,10.0
1481290200,0.2,11.0
1481293800,0.2,10.0
1481297400,0.2,10.0
1481301000,0.2,8.0
1481304600,0.2,9.0
1481308200,0.2,9.0
1481311800,0.2,9.0
1481315400,0.2,9.0
1481319000,0.2,9.0
1481322600,0.2,9.0
1481326200,0.2,8.0
1481329800,0.2,6.0
1481333400,0.2,7.0
1481337000,0.2,7.0
1481340600,0.2,7.0
1481344200,0.2,6.0
1481347800,0.2,6.0
1481351400,0.1,6.0
1481355000,0.1,6.0
1481358600,0.1,6.0
1481362200,0.1,7.0
1481365800,0.1,7.0
1481369400,0.1,9.0
1481373000,0.1,12.0
1481376600,0.2,11.0
1481380200,0.2,10.0
1481383800,0.2,13.0
1481387400,0.2,11.0
1481391000,0.2,9.0
1481394600,0.2,11.0
1481398200,0.2,13.0
1481401800,0.2,10.0
1481405400,0.2,10.0
1481409000,0.2,10.0
1481412600,0.2,11.0
1481416200,0.2,11.0
1481419800,0.2,9.0
1481423400,0.2,9.0
1481427000,0.2,10.0
1481430600,0.2,10.0
1481434200,0.2,9.0
1481437800,0.2,9.0
1481441400,0.2,10.0
1481445000,0.1,11.0
1481448600,0.1,7.0
1481452200,0.1,9.0
1481455800,0.1,8.0
1481459400,0.1,6.0
1481463000,0.1,10.0
1481466600,0.2,11.0
1481470200,0.2,10.0
1481473800,0.2,12.0
1481477400,0.2,13.0
1481481000,0.4,11.0
1481484600,0.4,9.0
1481488200,0.4,9.0
1481491800,0.3,10.0
1481495400,0.3,11.0
1481499000,0.6,18.0
1481502600,0.3,16.0
1481506200,0.2,17.0
1481509800,0.2,17.0
1481513400,0.3,11.0
1481517000,0.2,8.0
1481520600,0.2,6.0
1481524200,0.2,8.0
1481527800,0.2,8.0
1481531400,0.1,7.0
1481535000,0.1,5.0
1481538600,0.1,3.0
1481542200,0.2,6.0
1481545800,0.2,7.0
1481549400,0.2,7.0
1481553000,0.2,7.0
1481556600,0.2,7.0
1481560200,0.2,5.0
1481563800,0.2,4.0
1481567400,0.2,8.0
1481571000,0.2,10.0
1481574600,0.2,14.0
1481578200,0.2,11.0
1481581800,0.2,14.0
1481585400,0.2,13.0
1481589000,0.2,12.0
1481592600,0.2,12.0
1481596200,0.2,10.0
1481599800,0.2,13.0
1481603400,0.2,12.0
1481607000,0.1,10.0
1481610600,0.2,9.0
1481614200,0.2,10.0
1481617800,0.2,9.0
1481621400,0.2,9.0
1481625000,0.2,11.0
1481628600,0.2,16.0
1481632200,0.3,28.0
1481635800,0.4,22.0
1481639400,0.3,20.0
1481643000,0.3,20.0
1481646600,0.3,26.0
1481650200,0.3,15.0
1481653800,0.3,13.0
1481657400,0.3,10.0
1481661000,0.3,11.0
1481664600,0.4,14.0
1481668200,0.4,11.0
1481671800,0.3,10.0
1481675400,0.3,12.0
1481679000,0.2,10.0
1481682600,0.2,12.0
1481686200,0.2,10.0
1481689800,0.2,9.0
1481693400,0.2,8.0
1481697000,0.2,9.0
1481700600,0.2,9.0
1481704200,0.2,8.0
1481707800,0.2,10.0
1481711400,0.2,10.0
1481715000,0.2,9.0
