EpochTime,3.feed_29.PM10_UG_M3,3.feed_29.PM25_UG_M3
1484605800,29.0,14.0
1484609400,26.0,14.0
1484613000,20.0,12.0
1484616600,19.0,12.0
1484620200,15.0,10.0
1484623800,15.0,12.0
1484627400,23.0,15.0
1484631000,20.0,14.0
1484634600,15.0,13.0
1484638200,24.0,17.0
1484641800,15.0,12.0
1484645400,12.0,11.0
1484649000,13.0,10.0
1484652600,54.0,34.0
1484656200,50.0,29.0
1484659800,21.0,15.0
1484663400,21.0,15.0
1484667000,14.0,10.0
1484670600,9.0,7.0
1484674200,13.0,7.0
1484677800,11.0,6.0
1484681400,15.0,8.0
1484685000,6.0,4.0
1484688600,9.0,6.0
1484692200,9.0,5.0
1484695800,14.0,9.0
1484699400,6.0,3.0
1484703000,7.0,3.0
1484706600,4.0,0.0
1484710200,5.0,2.0
1484713800,6.0,4.0
1484717400,8.0,6.0
1484721000,5.0,2.0
1484724600,6.0,3.0
1484728200,5.0,3.0
1484731800,5.0,2.0
1484735400,5.0,5.0
1484739000,4.0,2.0
1484742600,1.0,1.0
1484746200,2.0,2.0
1484749800,3.0,1.0
1484753400,1.0,1.0
1484757000,1.0,0.0
1484760600,3.0,2.0
1484764200,2.0,2.0
1484767800,4.0,1.0
1484771400,4.0,1.0
1484775000,2.0,2.0
1484778600,5.0,2.0
1484782200,7.0,4.0
1484785800,5.0,3.0
1484789400,5.0,3.0
1484793000,7.0,3.0
1484796600,6.0,4.0
1484800200,3.0,2.0
1484803800,2.0,0.0
1484807400,5.0,3.0
1484811000,4.0,2.0
1484814600,2.0,1.0
1484818200,3.0,1.0
1484821800,4.0,2.0
1484825400,4.0,3.0
1484829000,5.0,3.0
1484832600,6.0,3.0
1484836200,,2.0
1484843400,5.0,-1.0
1484847000,4.0,0.0
1484850600,8.0,2.0
1484854200,13.0,9.0
1484857800,14.0,8.0
1484861400,10.0,7.0
1484865000,10.0,8.0
1484868600,11.0,9.0
1484872200,12.0,8.0
