EpochTime,3.feed_3506.PM2_5,3.feed_3506.OZONE
1488076200,7.0,32.0
1488079800,6.0,34.0
1488083400,5.0,33.0
1488087000,2.0,35.0
1488090600,5.0,33.0
1488094200,5.0,32.0
1488097800,11.0,31.0
1488101400,7.0,30.0
1488105000,7.0,30.0
1488108600,8.0,30.0
1488112200,7.0,29.0
1488115800,8.0,29.0
1488119400,11.0,29.0
1488123000,5.0,30.0
1488126600,8.0,32.0
1488130200,8.0,35.0
1488133800,28.0,35.0
1488137400,8.0,35.0
1488141000,7.0,38.0
1488144600,9.0,37.0
1488148200,8.0,37.0
1488151800,7.0,35.0
1488155400,4.0,34.0
1488159000,7.0,30.0
1488162600,7.0,30.0
1488166200,6.0,28.0
1488169800,4.0,27.0
1488173400,7.0,21.0
1488177000,7.0,13.0
1488180600,7.0,12.0
1488184200,7.0,20.0
1488187800,5.0,19.0
1488191400,4.0,8.0
1488195000,4.0,18.0
1488198600,5.0,9.0
1488202200,13.0,13.0
1488205800,11.0,21.0
1488209400,11.0,28.0
1488213000,7.0,30.0
1488216600,4.0,38.0
1488220200,4.0,39.0
1488223800,5.0,40.0
1488227400,9.0,38.0
1488231000,7.0,36.0
1488234600,7.0,32.0
1488238200,6.0,29.0
1488241800,9.0,17.0
1488245400,10.0,12.0
1488249000,17.0,9.0
1488252600,17.0,2.0
1488256200,19.0,0.0
1488259800,17.0,0.0
1488263400,17.0,0.0
1488267000,20.0,0.0
1488270600,14.0,0.0
1488274200,12.0,0.0
1488277800,21.0,0.0
1488281400,12.0,0.0
1488285000,17.0,0.0
1488288600,23.0,0.0
1488292200,22.0,2.0
1488295800,26.0,6.0
1488299400,18.0,13.0
1488303000,20.0,13.0
1488306600,12.0,23.0
1488310200,7.0,34.0
1488313800,5.0,39.0
1488317400,7.0,38.0
1488321000,5.0,35.0
1488324600,3.0,33.0
1488328200,4.0,33.0
1488331800,4.0,30.0
1488335400,6.0,31.0
1488339000,4.0,34.0
1488342600,0.0,33.0
1488346200,-1.0,33.0
1488349800,1.0,32.0
1488353400,6.0,31.0
1488357000,8.0,29.0
1488360600,8.0,26.0
1488364200,5.0,27.0
1488367800,2.0,28.0
1488371400,2.0,30.0
1488375000,2.0,26.0
1488378600,2.0,28.0
1488382200,5.0,17.0
1488385800,6.0,18.0
1488389400,4.0,30.0
1488393000,4.0,36.0
1488396600,5.0,
1488400200,8.0,40.0
1488403800,7.0,38.0
1488407400,6.0,37.0
1488411000,10.0,36.0
1488414600,6.0,37.0
1488418200,3.0,41.0
1488421800,5.0,40.0
1488425400,7.0,41.0
1488429000,4.0,41.0
1488432600,4.0,36.0
1488436200,2.0,34.0
1488439800,0.0,32.0
1488443400,0.0,35.0
1488447000,3.0,37.0
1488450600,5.0,39.0
1488454200,3.0,37.0
1488457800,3.0,37.0
1488461400,3.0,37.0
1488465000,8.0,39.0
1488468600,6.0,40.0
1488472200,4.0,41.0
1488475800,3.0,40.0
1488479400,3.0,40.0
1488483000,5.0,40.0
1488486600,6.0,40.0
1488490200,7.0,39.0
1488493800,5.0,38.0
1488497400,5.0,34.0
1488501000,8.0,37.0
1488504600,10.0,35.0
1488508200,9.0,36.0
1488511800,10.0,33.0
1488515400,7.0,31.0
1488519000,7.0,28.0
1488522600,7.0,29.0
1488526200,7.0,30.0
1488529800,6.0,34.0
1488533400,4.0,33.0
1488537000,7.0,34.0
1488540600,5.0,34.0
1488544200,8.0,34.0
1488547800,8.0,35.0
1488551400,6.0,37.0
1488555000,6.0,37.0
1488558600,7.0,38.0
1488562200,6.0,38.0
1488565800,5.0,36.0
1488569400,3.0,38.0
1488573000,5.0,40.0
1488576600,5.0,41.0
1488580200,5.0,41.0
1488583800,6.0,40.0
1488587400,3.0,38.0
1488591000,6.0,37.0
1488594600,7.0,34.0
1488598200,7.0,34.0
1488601800,8.0,26.0
1488605400,9.0,23.0
1488609000,12.0,18.0
1488612600,9.0,25.0
1488616200,7.0,27.0
1488619800,6.0,26.0
1488623400,6.0,21.0
1488627000,10.0,20.0
1488630600,11.0,23.0
1488634200,10.0,31.0
1488637800,8.0,36.0
1488641400,5.0,38.0
1488645000,5.0,40.0
1488648600,4.0,41.0
1488652200,3.0,43.0
1488655800,1.0,44.0
1488659400,3.0,44.0
1488663000,5.0,44.0
1488666600,3.0,43.0
1488670200,3.0,39.0
1488673800,5.0,37.0
1488677400,4.0,33.0
1488681000,5.0,34.0
1488684600,11.0,35.0
1488688200,7.0,35.0
1488691800,5.0,31.0
1488695400,5.0,33.0
1488699000,5.0,31.0
1488702600,3.0,30.0
1488706200,6.0,31.0
1488709800,5.0,30.0
1488713400,5.0,29.0
1488717000,6.0,28.0
1488720600,4.0,29.0
1488724200,5.0,30.0
1488727800,9.0,32.0
1488731400,6.0,36.0
1488735000,3.0,38.0
1488738600,0.0,40.0
1488742200,,40.0
1488745800,4.0,41.0
1488749400,6.0,43.0
1488753000,5.0,41.0
1488756600,5.0,36.0
1488760200,7.0,25.0
1488763800,13.0,8.0
1488767400,12.0,3.0
1488771000,10.0,2.0
1488774600,22.0,5.0
1488778200,12.0,4.0
1488781800,15.0,8.0
1488785400,5.0,6.0
1488789000,8.0,2.0
1488792600,11.0,1.0
1488796200,9.0,2.0
1488799800,13.0,0.0
1488803400,13.0,1.0
1488807000,15.0,3.0
1488810600,16.0,25.0
1488814200,12.0,32.0
1488817800,7.0,32.0
1488821400,11.0,39.0
1488825000,6.0,45.0
1488828600,15.0,46.0
1488832200,12.0,45.0
1488835800,10.0,43.0
1488839400,7.0,35.0
1488843000,10.0,31.0
1488846600,13.0,32.0
1488850200,14.0,30.0
1488853800,10.0,30.0
1488857400,11.0,31.0
1488861000,7.0,28.0
1488864600,8.0,28.0
1488868200,7.0,31.0
1488871800,9.0,31.0
1488875400,12.0,33.0
1488879000,8.0,35.0
1488882600,8.0,33.0
1488886200,18.0,31.0
1488889800,9.0,30.0
1488893400,12.0,31.0
1488897000,14.0,35.0
1488900600,12.0,41.0
1488904200,10.0,43.0
1488907800,8.0,44.0
1488911400,9.0,41.0
1488915000,6.0,39.0
1488918600,10.0,36.0
1488922200,9.0,38.0
1488925800,10.0,38.0
1488929400,10.0,35.0
1488933000,8.0,35.0
1488936600,8.0,32.0
1488940200,6.0,36.0
1488943800,4.0,40.0
1488947400,6.0,43.0
1488951000,5.0,38.0
1488954600,3.0,36.0
1488958200,2.0,36.0
1488961800,3.0,35.0
1488965400,4.0,31.0
1488969000,5.0,30.0
1488972600,4.0,29.0
1488976200,3.0,28.0
1488979800,5.0,30.0
1488983400,4.0,33.0
1488987000,3.0,36.0
1488990600,0.0,40.0
1488994200,0.0,43.0
1488997800,0.0,46.0
1489001400,-1.0,48.0
1489005000,-1.0,49.0
1489008600,4.0,49.0
1489012200,4.0,49.0
1489015800,3.0,48.0
1489019400,1.0,46.0
1489023000,6.0,45.0
1489026600,4.0,45.0
1489030200,0.0,44.0
1489033800,8.0,42.0
1489037400,5.0,42.0
1489041000,1.0,39.0
1489044600,1.0,36.0
1489048200,0.0,35.0
1489051800,3.0,35.0
1489055400,4.0,24.0
1489059000,5.0,26.0
1489062600,4.0,26.0
1489066200,4.0,32.0
1489069800,1.0,38.0
1489073400,-2.0,
1489077000,1.0,44.0
1489080600,3.0,46.0
1489084200,5.0,49.0
1489087800,7.0,49.0
1489091400,5.0,51.0
1489095000,10.0,52.0
1489098600,4.0,45.0
1489102200,0.0,41.0
1489105800,2.0,42.0
1489109400,1.0,41.0
1489113000,3.0,42.0
1489116600,3.0,40.0
1489120200,1.0,37.0
1489123800,6.0,26.0
1489127400,0.0,23.0
1489131000,-1.0,18.0
1489134600,6.0,16.0
1489138200,6.0,25.0
1489141800,2.0,36.0
1489145400,2.0,36.0
1489149000,5.0,31.0
1489152600,4.0,34.0
1489156200,5.0,35.0
1489159800,4.0,38.0
1489163400,4.0,40.0
1489167000,7.0,42.0
1489170600,5.0,44.0
1489174200,2.0,42.0
1489177800,10.0,41.0
1489181400,9.0,44.0
1489185000,7.0,42.0
1489188600,6.0,41.0
1489192200,7.0,40.0
1489195800,5.0,39.0
1489199400,4.0,39.0
1489203000,4.0,38.0
1489206600,5.0,37.0
1489210200,4.0,35.0
1489213800,6.0,33.0
1489217400,4.0,33.0
1489221000,4.0,33.0
1489224600,6.0,33.0
1489228200,4.0,35.0
1489231800,4.0,36.0
1489235400,4.0,36.0
1489239000,3.0,37.0
1489242600,7.0,38.0
1489246200,5.0,39.0
1489249800,6.0,40.0
1489253400,3.0,41.0
1489257000,5.0,42.0
1489260600,6.0,42.0
1489264200,3.0,42.0
1489267800,7.0,42.0
1489271400,5.0,41.0
1489275000,7.0,39.0
1489278600,9.0,36.0
1489282200,12.0,35.0
1489285800,8.0,34.0
1489289400,8.0,36.0
1489293000,7.0,32.0
1489296600,9.0,27.0
1489300200,9.0,19.0
1489303800,9.0,11.0
1489307400,10.0,10.0
1489311000,8.0,14.0
1489314600,10.0,16.0
1489318200,15.0,6.0
1489321800,8.0,17.0
1489325400,11.0,27.0
1489329000,6.0,34.0
1489332600,5.0,36.0
1489336200,11.0,35.0
1489339800,32.0,37.0
1489343400,8.0,39.0
1489347000,7.0,40.0
1489350600,8.0,42.0
1489354200,4.0,41.0
1489357800,3.0,41.0
1489361400,6.0,40.0
1489365000,5.0,36.0
1489368600,14.0,30.0
1489372200,13.0,14.0
1489375800,15.0,10.0
1489379400,13.0,6.0
1489383000,8.0,25.0
1489386600,12.0,28.0
1489390200,5.0,29.0
1489393800,8.0,32.0
1489397400,7.0,33.0
1489401000,6.0,29.0
1489404600,6.0,25.0
1489408200,5.0,27.0
1489411800,2.0,29.0
1489415400,6.0,32.0
1489419000,7.0,33.0
1489422600,8.0,35.0
1489426200,16.0,38.0
1489429800,,42.0
1489433400,,43.0
1489437000,25.0,42.0
1489440600,28.0,41.0
1489444200,0.0,38.0
1489447800,10.0,37.0
1489451400,6.0,36.0
1489455000,10.0,34.0
1489458600,11.0,30.0
1489462200,7.0,25.0
1489465800,18.0,24.0
1489469400,16.0,23.0
1489473000,7.0,25.0
1489476600,7.0,25.0
1489480200,4.0,30.0
1489483800,15.0,30.0
1489487400,16.0,26.0
1489491000,20.0,27.0
1489494600,20.0,27.0
1489498200,18.0,24.0
1489501800,13.0,24.0
1489505400,16.0,27.0
1489509000,10.0,30.0
1489512600,8.0,30.0
1489516200,10.0,32.0
1489519800,8.0,34.0
1489523400,4.0,38.0
1489527000,9.0,42.0
1489530600,9.0,41.0
1489534200,7.0,41.0
1489537800,6.0,41.0
1489541400,5.0,42.0
1489545000,4.0,42.0
1489548600,4.0,42.0
1489552200,3.0,42.0
1489555800,2.0,39.0
1489559400,4.0,37.0
1489563000,7.0,33.0
1489566600,5.0,31.0
1489570200,6.0,29.0
1489573800,6.0,30.0
1489577400,11.0,28.0
1489581000,9.0,28.0
1489584600,7.0,30.0
1489588200,6.0,32.0
1489591800,4.0,34.0
1489595400,7.0,35.0
1489599000,7.0,37.0
1489602600,7.0,42.0
1489606200,7.0,44.0
1489609800,4.0,44.0
1489613400,7.0,44.0
1489617000,6.0,44.0
1489620600,7.0,45.0
1489624200,,46.0
1489627800,4.0,44.0
1489631400,5.0,41.0
1489635000,9.0,38.0
1489638600,8.0,37.0
1489642200,1.0,38.0
1489645800,10.0,36.0
1489649400,11.0,33.0
1489653000,12.0,28.0
1489656600,9.0,23.0
1489660200,9.0,26.0
1489663800,14.0,27.0
1489667400,8.0,27.0
1489671000,9.0,31.0
1489674600,9.0,37.0
1489678200,5.0,39.0
1489681800,10.0,39.0
1489685400,11.0,41.0
1489689000,9.0,42.0
1489692600,9.0,45.0
1489696200,7.0,47.0
1489699800,3.0,48.0
1489703400,3.0,47.0
1489707000,8.0,44.0
1489710600,12.0,41.0
1489714200,10.0,33.0
1489717800,9.0,10.0
1489721400,8.0,1.0
1489725000,11.0,0.0
