EpochTime,3.feed_29.PM25_UG_M3..3.feed_29.PM25T_UG_M3
1484692200,5
1484695800,9
1484699400,3
1484703000,3
1484706600,0
1484710200,2
1484713800,4
1484717400,6
1484721000,2
1484724600,3
1484728200,3
1484731800,2
1484735400,5
1484739000,2
1484742600,1
1484746200,2
1484749800,1
1484753400,1
1484757000,0
1484760600,2
1484764200,2
1484767800,1
1484771400,1
1484775000,2
1484778600,2
1484782200,4
1484785800,3
1484789400,3
1484793000,3
1484796600,4
1484800200,2
1484803800,0
1484807400,3
1484811000,2
1484814600,1
1484818200,1
1484821800,2
1484825400,3
1484829000,3
1484832600,3
1484836200,2
1484843400,-1
1484847000,0
1484850600,2
1484854200,9
1484857800,8
1484861400,7
1484865000,8
1484868600,9
1484872200,8
1484875800,9
1484879400,11
1484883000,8
1484886600,12
1484890200,12
1484893800,11
1484897400,9
1484901000,6
1484904600,8
1484908200,7
1484911800,7
1484915400,8
1484919000,8
1484922600,6
1484926200,6
1484929800,16
1484933400,18
1484937000,6
1484940600,5
1484944200,7
1484947800,6
1484951400,13
1484955000,12
1484958600,18
1484962200,30
1484965800,24
1484969400,32
1484973000,48
1484976600,63
1484980200,65
