EpochTime,3.feed_29.PM10_UG_M3
1485336600,5
1485340200,5
1485343800,5
1485347400,3
1485351000,6
1485354600,12
1485358200,11
1485361800,11
1485365400,11
1485369000,10
1485372600,14
1485376200,14
1485379800,9
1485383400,19
1485387000,10
1485390600,19
1485394200,11
1485397800,10
1485401400,10
1485405000,23
1485408600,24
1485412200,9
1485415800,6
1485419400,4
1485423000,5
1485426600,8
1485430200,4
1485433800,2
1485437400,5
1485441000,4
1485444600,3
1485448200,4
1485451800,5
1485455400,4
1485459000,2
1485462600,5
1485466200,5
1485469800,4
1485473400,3
1485477000,4
1485480600,4
1485484200,4
1485487800,2
1485491400,3
1485495000,2
1485498600,2
1485502200,1
1485505800,3
1485509400,4
1485513000,3
