EpochTime,3.feed_26.PM10B_UG_M3..3.feed_59665.PM10_640_UG_M3
1482885000,3.0
1482888600,1.0
1482892200,0.0
1482895800,0.0
1482899400,0.0
1482903000,3.0
1482913800,5.0
1482917400,7.0
1482921000,7.0
1482924600,7.0
1482928200,11.0
1482931800,18.0
1482935400,11.0
1482939000,12.0
1482942600,30.0
1482946200,15.0
1482949800,7.0
1482953400,10.0
1482957000,13.0
1482960600,15.0
1482964200,11.0
1482967800,10.0
1482971400,24.0
1482975000,27.0
1482978600,27.0
1482982200,25.0
1482985800,20.0
1482989400,20.0
1482993000,15.0
1482996600,14.0
1483000200,13.0
1483003800,9.0
1483007400,5.0
1483011000,4.0
1483014600,7.0
1483018200,9.0
1483021800,11.0
1483025400,8.0
1483029000,9.0
1483032600,7.0
1483036200,11.0
1483039800,10.0
1483043400,6.0
1483047000,3.0
1483050600,8.0
1483054200,7.0
1483057800,14.0
1483061400,7.0
1483065000,1.0
1483068600,2.0
1483072200,2.0
1483075800,4.0
1483079400,6.0
1483083000,4.0
1483086600,6.0
1483090200,6.0
1483093800,2.0
1483097400,-2.0
1483101000,0.0
1483104600,4.0
1483108200,3.0
1483111800,4.0
1483115400,5.0
1483119000,3.0
1483122600,5.0
1483126200,3.0
1483129800,0.0
1483133400,1.0
1483137000,7.0
1483140600,10.0
1483144200,9.0
1483147800,11.0
1483151400,9.0
1483155000,7.0
1483158600,8.0
1483162200,6.0
1483165800,6.0
1483169400,7.0
1483173000,8.0
1483176600,9.0
1483180200,9.0
1483183800,9.0
1483187400,12.0
1483191000,8.0
1483194600,14.0
1483198200,6.0
1483201800,7.0
1483205400,5.0
1483209000,7.0
1483212600,7.0
1483216200,5.0
1483219800,2.0
1483223400,1.0
1483227000,2.0
1483230600,1.0
1483234200,0.0
1483237800,2.0
1483241400,3.0
1483245000,4.0
1483248600,6.0
1483252200,7.0
1483255800,3.0
1483259400,0.0
1483263000,4.0
1483266600,11.0
1483270200,15.0
1483273800,8.0
1483277400,12.0
1483281000,14.0
1483284600,19.0
1483288200,28.0
1483291800,13.0
1483295400,11.0
1483299000,11.0
1483302600,13.0
1483306200,17.0
1483309800,13.0
1483313400,10.0
1483317000,11.0
1483320600,25.0
1483324200,19.0
1483327800,23.0
1483331400,21.0
1483335000,17.0
1483338600,21.0
1483342200,12.0
1483345800,18.0
1483349400,16.0
1483353000,7.0
1483356600,7.0
1483360200,7.0
1483363800,10.0
1483367400,18.0
1483371000,11.0
1483374600,10.0
1483378200,9.0
1483381800,8.0
1483385400,4.0
1483389000,4.0
1483392600,4.0
1483396200,4.0
1483399800,4.0
1483403400,2.0
1483407000,1.0
1483410600,1.0
1483414200,0.0
1483417800,0.0
1483421400,0.0
1483425000,0.0
1483428600,0.0
1483432200,0.0
1483435800,-1.0
1483439400,-1.0
1483443000,0.0
1483446600,2.0
1483450200,1.0
1483453800,-1.0
1483457400,0.0
1483461000,0.0
1483464600,0.0
1483468200,1.0
1483471800,1.0
1483475400,3.0
1483479000,4.0
1483482600,7.0
1483486200,7.0
1483489800,8.0
1483493400,10.0
1483497000,7.0
1483500600,5.0
1483504200,2.0
1483507800,0.0
1483511400,2.0
1483515000,2.0
1483518600,4.0
1483533000,1.0
1483536600,4.0
1483540200,3.0
1483543800,11.0
1483547400,11.0
1483551000,10.0
1483554600,8.0
1483558200,7.0
1483561800,5.0
1483565400,2.0
1483579800,2.0
1483583400,7.0
1483587000,7.0
1483590600,5.0
1483594200,5.0
1483597800,6.0
1483601400,5.0
1483605000,5.0
1483608600,5.0
1483612200,5.0
1483615800,8.0
1483619400,12.0
1483623000,16.0
1483626600,10.0
1483630200,11.0
1483633800,14.0
1483637400,13.0
1483641000,10.0
1483644600,10.0
1483648200,7.0
1483651800,2.0
1483655400,0.0
1483659000,2.0
1483662600,5.0
1483666200,6.0
1483669800,9.0
1483673400,9.0
1483677000,11.0
1483680600,7.0
1483684200,6.0
1483687800,6.0
